Account Description,Debit Amount,Credit Amount,Donors,date
GLP Donors,"1,722.00000",0.00000,"1,722.00",2022-04-01
BN Donors,"1,723.00000",0.00000,"1,723.00",2020-03-01
LL Donors,"1,723.00000",0.00000,"1,723.00",2023-04-01
GLP Donors,"1,725.00000",0.00000,"1,725.00",2019-11-01
ALA Donors,"1,727.00000",0.00000,"1,727.00",2021-02-01
LL Donors,"1,735.00000",0.00000,"1,735.00",2020-08-01
ALA Donors,"1,736.00000",0.00000,"1,736.00",2024-04-01
ALA Donors,"1,742.00000",0.00000,"1,742.00",2021-09-01
ALA Donors,"1,744.00000",0.00000,"1,744.00",2021-04-01
ALA Donors,"1,745.00000",0.00000,"1,745.00",2022-02-01
GLP Donors,"1,748.00000",0.00000,"1,748.00",2023-01-01
CER Donors,"1,751.00000",0.00000,"1,751.00",2020-03-01
ALA Donors,"1,756.00000",0.00000,"1,756.00",2020-01-01
RB Donors,"1,764.00000",0.00000,"1,764.00",2020-06-01
FRM Donors,"1,771.00000",0.00000,"1,771.00",2020-03-01
ALA Donors,"1,777.00000",0.00000,"1,777.00",2024-03-01
ALA Donors,"1,784.00000",0.00000,"1,784.00",2020-05-01
CER Donors,"1,790.00000",0.00000,"1,790.00",2020-11-01
GLP Donors,"1,793.00000",0.00000,"1,793.00",2023-03-01
ALA Donors,"1,799.00000",0.00000,"1,799.00",2020-09-01
GLP Donors,"1,800.00000",0.00000,"1,800.00",2024-02-01
MNL Donors,"1,800.00000",0.00000,"1,800.00",2020-11-01
ALA Donors,"1,818.00000",0.00000,"1,818.00",2019-04-01
CC Donors,"1,824.00000",0.00000,"1,824.00",2020-03-01
GLP Donors,"1,831.00000",0.00000,"1,831.00",2019-09-01
BN Donors,"1,834.00000",0.00000,"1,834.00",2019-04-01
GLP Donors,"1,836.00000",0.00000,"1,836.00",2019-03-01
LL Donors,"1,836.00000",0.00000,"1,836.00",2020-12-01
GLP Donors,"1,838.00000",0.00000,"1,838.00",2019-10-01
SM Donors,"1,844.00000",0.00000,"1,844.00",2022-06-01
LL Donors,"1,846.00000",0.00000,"1,846.00",2022-07-01
BN Donors,"1,859.00000",0.00000,"1,859.00",2021-09-01
LL Donors,"1,859.00000",0.00000,"1,859.00",2021-08-01
LL Donors,"1,859.00000",0.00000,"1,859.00",2021-12-01
Donors - GoodDeeds,"1,861.00000",0.00000,"1,861.00",2019-08-01
ALA Donors,"1,873.00000",0.00000,"1,873.00",2024-05-01
ALA Donors,"1,874.00000",0.00000,"1,874.00",2021-10-01
LL Donors,"1,876.00000",0.00000,"1,876.00",2022-03-01
ALA Donors,"1,880.00000",0.00000,"1,880.00",2019-11-01
GLP Donors,"1,881.00000",0.00000,"1,881.00",2022-10-01
ALA Donors,"1,881.00000",0.00000,"1,881.00",2023-11-01
LL Donors,"1,893.00000",0.00000,"1,893.00",2023-02-01
LL Donors,"1,893.00000",0.00000,"1,893.00",2023-05-01
ALA Donors,"1,909.00000",0.00000,"1,909.00",2019-12-01
GLP Donors,"1,911.00000",0.00000,"1,911.00",2021-09-01
